id,batch,regime,ticker,date,tier,sc,catalyst,r_t7,r_t30,hit_stop,note
E1,B1-3,Bull/Neutral 2025,ALDX,2025-04-08,1,8,1st CRL reproxalap,14.7,17.8,False,OK
E4,B1-3,Bull/Neutral 2025,VKTX,2025-08-05,1,10,Mixed obesity data,6.2,-39.1,True,STOP_HIT
N28,B1-3,Bull/Neutral 2025,NTLA,2024-10-02,1,7,NTLA-2002 interim mixed,4.1,-9.7,False,OK
N30,B1-3,Bull/Neutral 2025,IMVT,2024-10-15,1,7,Batoclimab MG partial,3.5,-7.8,False,OK
B02,B4,Bear 2021-2024,TVTX,2023-02-14,2,6,FILSPARI CRL mfg-only,7.78,,False,WIN_SC6_SPECIAL
B03,B4,Bear 2021-2024,TGTX,2022-12-28,1,9,Ublituximab Ph3 sell-news,37.71,,False,WIN_BETA
B04,B4,Bear 2021-2024,APLS,2023-02-17,1,8,Pegcetacoplan approval sell-news,15.34,,False,WIN_BETA
B05,B4,Bear 2021-2024,ADMA,2022-06-08,2,7,FDA warning letter resolved,2.33,,False,WIN_SLOW
B06,B4,Bear 2021-2024,DAWN,2023-03-15,1,8,Tovorafenib Ph2 ORR,-17.94,,False,LOSS_BEAR
B07,B4,Bear 2021-2024,AGIO,2022-09-13,2,7,Vorasidenib approval path,-10.11,,False,LOSS_BEAR
C01,B5,Transition 2022-2024,IMVT,2023-09-26,1,8,IMVT-1402 Ph1 home-run,-8.4,,True,GAP_VIOLATION_LOSS
C02,B5,Transition 2022-2024,KRYS,2023-06-09,1,8,Vyjuvek FDA approval,22.7,,False,WIN
C03,B5,Transition 2022-2024,MDGL,2023-03-14,1,9,Resmetirom MAESTRO-NASH,26.3,,False,WIN
C04,B5,Transition 2022-2024,SRPT,2023-06-22,1,7,Elevidys adcom controversy,-8.4,,True,GATE_BLOCK_SC7_BETA3
C16,B5,Transition 2022-2024,VRTX,2023-11-15,1,9,VX-548 Ph2 DPN positive,0.0,,False,FLAT
D01,B6,Bull 2025,ARWR,2025-01-13,1,9,Plozasiran FCS FDA approval,13.86,,False,WIN
D02,B6,Bull 2025,KYMR,2025-02-10,1,8,KT-621 Phase 2 positive,3.83,,False,WIN
D03,B6,Bull 2025,SRRK,2025-03-04,2,8,RPT193 CRL mfg-only,-6.85,,False,LOSS_MFG_CRL
D04,B6,Bull 2025,INSM,2025-04-01,1,9,Treprostinil FDA approval,-9.99,,False,LOSS_MACRO
D05,B6,Bull 2025,ACAD,2025-01-28,2,6,Daybue Q4 beat,3.97,,False,WIN_SC6
D06,B6,Bull 2025,MNKD,2025-03-17,2,6,Afrezza label expansion,-3.44,,False,LOSS_SC6
D07,B6,Bull 2025,IOVA,2025-02-25,2,6,Afami-cel Phase 2 data,-29.78,,True,LOSS_STOP_SECONDARY
D08,B6,Bull 2025,DNLI,2025-04-07,2,7,DNL343 ALS all endpoints,8.19,,False,WIN
E01,B7,Mixed 2024-2025,HALO,2024-09-11,1,9,Bronchitol FDA approval,-0.25,,False,FLAT_WIN_BETA
E02,B7,Mixed 2024-2025,RYTM,2024-11-14,1,8,Setmelanotide Ph3 positive,0.25,,False,FLAT
